Provider_ID,Measure,Rate,Footnote,Start_Quarter,End_Quarter
010001,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010001,Air Embolism,0.000,,3Q2021,2Q2023
010001,Blood Incompatibility,0.000,,3Q2021,2Q2023
010001,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.336,,3Q2021,2Q2023
010005,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010005,Air Embolism,0.000,,3Q2021,2Q2023
010005,Blood Incompatibility,0.000,,3Q2021,2Q2023
010005,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.319,,3Q2021,2Q2023
010006,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010006,Air Embolism,0.000,,3Q2021,2Q2023
010006,Blood Incompatibility,0.000,,3Q2021,2Q2023
010006,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.289,,3Q2021,2Q2023
010007,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010007,Air Embolism,0.000,,3Q2021,2Q2023
010007,Blood Incompatibility,0.000,,3Q2021,2Q2023
010007,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010008,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010008,Air Embolism,0.000,,3Q2021,2Q2023
010008,Blood Incompatibility,0.000,,3Q2021,2Q2023
010008,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010011,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010011,Air Embolism,0.000,,3Q2021,2Q2023
010011,Blood Incompatibility,0.000,,3Q2021,2Q2023
010011,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",1.271,,3Q2021,2Q2023
010012,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010012,Air Embolism,0.000,,3Q2021,2Q2023
010012,Blood Incompatibility,0.000,,3Q2021,2Q2023
010012,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010016,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010016,Air Embolism,0.000,,3Q2021,2Q2023
010016,Blood Incompatibility,0.000,,3Q2021,2Q2023
010016,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.319,,3Q2021,2Q2023
010018,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010018,Air Embolism,0.000,,3Q2021,2Q2023
010018,Blood Incompatibility,0.000,,3Q2021,2Q2023
010018,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010019,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010019,Air Embolism,0.000,,3Q2021,2Q2023
010019,Blood Incompatibility,0.000,,3Q2021,2Q2023
010019,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.301,,3Q2021,2Q2023
010021,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010021,Air Embolism,0.000,,3Q2021,2Q2023
010021,Blood Incompatibility,0.000,,3Q2021,2Q2023
010021,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010022,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010022,Air Embolism,0.000,,3Q2021,2Q2023
010022,Blood Incompatibility,0.000,,3Q2021,2Q2023
010022,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010023,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010023,Air Embolism,0.000,,3Q2021,2Q2023
010023,Blood Incompatibility,0.000,,3Q2021,2Q2023
010023,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.185,,3Q2021,2Q2023
010024,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010024,Air Embolism,0.000,,3Q2021,2Q2023
010024,Blood Incompatibility,0.000,,3Q2021,2Q2023
010024,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010029,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010029,Air Embolism,0.000,,3Q2021,2Q2023
010029,Blood Incompatibility,0.000,,3Q2021,2Q2023
010029,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010033,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010033,Air Embolism,0.000,,3Q2021,2Q2023
010033,Blood Incompatibility,0.000,,3Q2021,2Q2023
010033,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.680,,3Q2021,2Q2023
010034,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010034,Air Embolism,0.000,,3Q2021,2Q2023
010034,Blood Incompatibility,0.000,,3Q2021,2Q2023
010034,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010035,Foreign Object Retained After Surgery,0.213,,3Q2021,2Q2023
010035,Air Embolism,0.000,,3Q2021,2Q2023
010035,Blood Incompatibility,0.000,,3Q2021,2Q2023
010035,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.426,,3Q2021,2Q2023
010036,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010036,Air Embolism,0.000,,3Q2021,2Q2023
010036,Blood Incompatibility,0.000,,3Q2021,2Q2023
010036,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.756,,3Q2021,2Q2023
010039,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010039,Air Embolism,0.047,,3Q2021,2Q2023
010039,Blood Incompatibility,0.000,,3Q2021,2Q2023
010039,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.568,,3Q2021,2Q2023
010040,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010040,Air Embolism,0.000,,3Q2021,2Q2023
010040,Blood Incompatibility,0.000,,3Q2021,2Q2023
010040,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.258,,3Q2021,2Q2023
010044,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010044,Air Embolism,0.000,,3Q2021,2Q2023
010044,Blood Incompatibility,0.000,,3Q2021,2Q2023
010044,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",3.623,,3Q2021,2Q2023
010045,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010045,Air Embolism,0.000,,3Q2021,2Q2023
010045,Blood Incompatibility,0.000,,3Q2021,2Q2023
010045,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010046,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010046,Air Embolism,0.000,,3Q2021,2Q2023
010046,Blood Incompatibility,0.000,,3Q2021,2Q2023
010046,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.583,,3Q2021,2Q2023
010049,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010049,Air Embolism,0.000,,3Q2021,2Q2023
010049,Blood Incompatibility,0.000,,3Q2021,2Q2023
010049,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",1.276,,3Q2021,2Q2023
010051,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010051,Air Embolism,0.000,,3Q2021,2Q2023
010051,Blood Incompatibility,0.000,,3Q2021,2Q2023
010051,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010052,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010052,Air Embolism,0.000,,3Q2021,2Q2023
010052,Blood Incompatibility,0.000,,3Q2021,2Q2023
010052,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010055,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010055,Air Embolism,0.000,,3Q2021,2Q2023
010055,Blood Incompatibility,0.000,,3Q2021,2Q2023
010055,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.171,,3Q2021,2Q2023
010056,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010056,Air Embolism,0.000,,3Q2021,2Q2023
010056,Blood Incompatibility,0.000,,3Q2021,2Q2023
010056,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",1.459,,3Q2021,2Q2023
010058,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010058,Air Embolism,0.000,,3Q2021,2Q2023
010058,Blood Incompatibility,0.000,,3Q2021,2Q2023
010058,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
010059,Foreign Object Retained After Surgery,0.000,,3Q2021,2Q2023
010059,Air Embolism,0.000,,3Q2021,2Q2023
010059,Blood Incompatibility,0.000,,3Q2021,2Q2023
010059,"Falls and Trauma (Includes fractures, dislocations, intracranial injuries, crushing injuries, burns, other injuries)",0.000,,3Q2021,2Q2023
