"ENROLLMENT ID","ADDRESS LINE 1","ADDRESS LINE 2","CITY","STATE","ZIP CODE","PRACTICE LOCATION TYPE","LOCATION OTHER TYPE TEXT"
O20020812000015,100 BIBLE XING,,DECHERD,TN,373243886,OTHER HOSPITAL PRACTICE LOCATION,REHAB CENTER
O20020812000015,1260 UNIVERSITY AVE,,SEWANEE,TN,373752303,OTHER HOSPITAL PRACTICE LOCATION,2- REMOTE LOCATION
O20020812000015,186 HOSPITAL RD,STE 200,WINCHESTER,TN,373982473,OTHER HOSPITAL PRACTICE LOCATION,HOSPITAL OUTPATIENT DEPARTMENT
O20020812000015,94 HOSPITAL RD,,WINCHESTER,TN,373982491,OTHER HOSPITAL PRACTICE LOCATION,SLEEP CENTER
O20020814000009,10 HIGH ST,STE 105,LEWISTON,ME,042407640,OTHER HOSPITAL PRACTICE LOCATION,HOPD ON CAMPUS
O20020814000009,10 HIGH ST,STE 204,LEWISTON,ME,042407657,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER BASED ON CAMPUS LOCATION
O20020814000009,10 HIGH ST,STE 301,LEWISTON,ME,042407656,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER-BASED ON-CAMPUS PHYSICIAN PRACTICE
O20020814000009,105 TOPSHAM FAIR MALL RD,,TOPSHAM,ME,040861773,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER-BASED OFF-CAMPUS PRACTICE
O20020814000009,12 HIGH ST,STE 205,LEWISTON,ME,042407689,OTHER HOSPITAL PRACTICE LOCATION,ON CAMPUS PROVIDER BASED DEPT
O20020814000009,12 HIGH ST,STE 301,LEWISTON,ME,042407689,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER-BASED ON-CAMPUS PHYSICIAN PRACTICE
O20020814000009,12 HIGH STREET,SUITE 103,LEWISTON,ME,042400702,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER-BASED ON-CAMPUS PHYSICIAN PRACTICE
O20020814000009,12 HIGH STREET SUITE 102,,LEWISTON,ME,042407676,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER-BASED ON-CAMPUS PHYSICIAN PRACTICE
O20020814000009,12 HIGH STREET SUITE 302,,LEWISTON,ME,042407676,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER-BASED ON-CAMPUS PHYSICIAN PRACTICE
O20020814000009,12 HIGH STREET SUITE 400,,LEWISTON,ME,042407676,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER-BASED ON-CAMPUS PHYSICIAN PRACTICE
O20020814000009,12 HIGH STREET SUITE 401,,LEWISTON,ME,042407676,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER-BASED ON-CAMPUS PHYSICIAN PRACTICE
O20020814000009,126 SHAKER RD,,GRAY,ME,040399629,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER-BASED OFF-CAMPUS PHYSICIAN PRACTICE
O20020814000009,17 HIGH ST,STE 1A,LEWISTON,ME,042407614,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER BASED ON CAMPUS LOCATION
O20020814000009,17 HIGH ST,STE 1B,LEWISTON,ME,042407614,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER BASED ON CAMPUS LOCATION
O20020814000009,17 HIGH ST,STE 2,LEWISTON,ME,042407614,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER BASED ON CAMPUS LOCATION
O20020814000009,17 HIGH ST,STE 4,LEWISTON,ME,042407614,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER BASED ON CAMPUS LOCATION
O20020814000009,17 HIGH ST,STE 6,LEWISTON,ME,042407614,OTHER HOSPITAL PRACTICE LOCATION,HOPD ON CAMPUS
O20020814000009,17 HIGH ST,STE 7,LEWISTON,ME,042407614,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER BASED ON CAMPUS LOCATION
O20020814000009,17 HIGH ST,STE 8,LEWISTON,ME,042407614,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER BASED ON CAMPUS LOCATION
O20020814000009,190 STETSON ROAD,,AUBURN,ME,042107813,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER-BASED OFF-CAMPUS PHYSICIAN PRACTICE
O20020814000009,23 BOWDOIN STREET,,MANCHESTER,ME,043513554,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER BASED OFF CAMPUS LOCATION
O20020814000009,25 BOWDOIN ST,,MANCHESTER,ME,043513554,OTHER HOSPITAL PRACTICE LOCATION,DEPARTMENT OF A PROVIDER
O20020814000009,364 MAINE STREET,,POLAND,ME,042745109,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER-BASED OFF-CAMPUS PHYSICIAN PRACTICE
O20020814000009,4 HORTON PL,,TOPSHAM,ME,040861747,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER BASED OFF CAMPUS LOCATION
O20020814000009,685 SABATTUS ST,,LEWISTON,ME,042403831,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER BASED OFF CAMPUS LOCATION
O20020814000009,690 MINOT AVE,STE 1,AUBURN,ME,042103922,OTHER HOSPITAL PRACTICE LOCATION,OFF CAMPUS PROVIDER BASED PRACTICE
O20020814000009,690 MINOT AVE,STE 2,AUBURN,ME,042103922,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER BASED LOCATION
O20020814000009,690 MINOT AVE,STE 3,AUBURN,ME,042103922,OTHER HOSPITAL PRACTICE LOCATION,OFF CAMPUS PROVIDER-BASED LOCATION
O20020814000009,76 HIGH ST,STE 200,LEWISTON,ME,042407691,OTHER HOSPITAL PRACTICE LOCATION,ON CAMPUS PROVIDER BASED DEPT
O20020814000009,76 HIGH ST,STE 300,LEWISTON,ME,042407591,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER-BASED ON-CAMPUS PHYSICIAN PRACTICE
O20020814000009,76 HIGH STREET 1ST FLOOR,,LEWISTON,ME,042407649,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER-BASED ON-CAMPUS PHYSICIAN PRACTICE
O20020814000009,77 BATES ST,STE 210,LEWISTON,ME,042407637,OTHER HOSPITAL PRACTICE LOCATION,OUTPATIENT REHAB CLINIC
O20020814000009,77 BATES STREET SUITE 201,,LEWISTON,ME,042407637,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER-BASED PHYSICIAN PRACTICE
O20020814000009,77 BATES STREET SUITE 202,,LEWISTON,ME,042407637,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER-BASED PHYSICIAN PRACTICE
O20020814000009,789 MINOT AVENUE,,AUBURN,ME,042103924,OTHER HOSPITAL PRACTICE LOCATION,PROVIDER-BASED OFF-CAMPUS PHYSICIAN PRACTICE
O20020815000027,95 LINCOLN ST,,WORCESTER,MA,016052431,,OUTPATIENT SERVICES
O20020821000019,22 LEWIS BAY ROAD,PRIMARY CARE INTERNISTS,HYANNIS,MA,026015238,OTHER HOSPITAL PRACTICE LOCATION,
O20020821000019,40 QUINLAN WAY 150,CAPE COD HOSPITAL OBGYN,HYANNIS,MA,026015232,OTHER HOSPITAL PRACTICE LOCATION,
O20020821000019,46 NORTH STREET SUITE 3,CAPE COD HOSPITAL PAIN CENTER,HYANNIS,MA,026013845,OTHER HOSPITAL PRACTICE LOCATION,
O20020821000019,525 LONG POND DRIVE SUITE 200,CAPE COD HOSPITAL IMAGING,HARWICH,MA,026451227,OTHER HOSPITAL PRACTICE LOCATION,
O20020821000019,525 LONG POND DRIVE SUITE 700,CAPE COD HOSPITAL MOBILE MRI,HARWICH,MA,026451227,OTHER HOSPITAL PRACTICE LOCATION,
O20020821000019,90 TER HEUN DRIVE 1ST FLOOR,THE CLARK CENTER,FALMOUTH,MA,025402533,OTHER HOSPITAL PRACTICE LOCATION,
O20020821000019,CAPE COD HOSPITAL MEDICAL SERVICES,"905 ATTUCKS LANE, 1ST FLOOR SUITES A & B",HYANNIS,MA,026018146,OPT EXTENSION SITE,
O20020821000019,CAPE COD HOSPITAL REHAB CENTER,21 OLD COLONY WAY,ORLEANS,MA,026533213,OPT EXTENSION SITE,
O20020821000019,CCH CARDIAC DIAGNOSTIC & REHAB SERVICES,"25 MAIN STREET, 1ST & 2ND FL",HYANNIS,MA,026013129,OPT EXTENSION SITE,
O20020821000019,OPPENHEIM MEDICAL BUILDING,"1629 MAIN STREET, 1ST FLOOR",CHATHAM,MA,026332711,OPT EXTENSION SITE,
O20020821000019,WILKENS MEDICAL COMPLEX,35 WILKENS LANE,BARNSTABLE,MA,026012082,OPT EXTENSION SITE,
O20020827000002,1560 UNIVERSITY AVE,,DUBUQUE,IA,520014790,OTHER HOSPITAL PRACTICE LOCATION,
O20020827000002,1665 EMBASSY WEST DR,STE 250,DUBUQUE,IA,520022281,OTHER HOSPITAL PRACTICE LOCATION,OTHER HEALTH CARE FACILITY
O20020827000002,2255 JFK RD,STE 100,DUBUQUE,IA,520022947,OPT EXTENSION SITE,
O20020827000002,350 N GRANDVIEW AVE,STE 2200,DUBUQUE,IA,520016388,OTHER HOSPITAL PRACTICE LOCATION,
